epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
44,3374.1,0.93718,1.29094,1.5022,0.81609,0,0.55089,0.40383,0.35867,0.26353,0.54101,0.39285,0.34397,0.1763,0.7581,1.03265,1.56103,0.8017,0,0.0002905,0.0002905,0.0002905
45,3441.63,0.92022,1.25406,1.49033,0.81603,0,0.41726,0.40876,0.36515,0.26789,0.40653,0.39025,0.3468,0.17568,0.75099,1.00486,1.5113,0.80261,0,0.000274,0.000274,0.000274
46,3511.58,0.91789,1.25965,1.46938,0.81478,0,0.55988,0.39575,0.36699,0.26919,0.54915,0.38199,0.34855,0.1738,0.75978,1.02892,1.49574,0.80217,0,0.0002575,0.0002575,0.0002575
47,3587.24,0.93222,1.29295,1.46917,0.81476,0,0.52359,0.38539,0.36177,0.26734,0.51301,0.372,0.344,0.17444,0.75992,1.05001,1.52917,0.80204,0,0.000241,0.000241,0.000241
48,3665.94,0.91462,1.26199,1.45895,0.81538,0,0.47903,0.40451,0.36671,0.26909,0.54067,0.3881,0.35066,0.1826,0.74248,1.02972,1.53848,0.8001,0,0.0002245,0.0002245,0.0002245
49,3748.37,0.92837,1.26861,1.45969,0.81589,0,0.49286,0.39723,0.36912,0.27397,0.49796,0.38204,0.35453,0.18242,0.74379,1.01999,1.4969,0.8017,0,0.000208,0.000208,0.000208
50,3836.52,0.91909,1.25976,1.45335,0.81498,0,0.46895,0.42288,0.37231,0.27246,0.46202,0.40857,0.35556,0.17599,0.75348,1.02109,1.47372,0.80193,0,0.0001915,0.0001915,0.0001915
51,3888.54,0.88239,1.20786,1.52575,0.81546,0,0.41994,0.40343,0.35851,0.26255,0.47674,0.38535,0.34213,0.17278,0.77265,1.04907,1.56397,0.80263,0,0.000175,0.000175,0.000175
52,3941.04,0.86692,1.20138,1.49491,0.81486,0,0.46155,0.41733,0.36663,0.27124,0.46078,0.39805,0.34934,0.17554,0.75529,1.03362,1.5503,0.80235,0,0.0001585,0.0001585,0.0001585
53,3988.64,0.84256,1.16808,1.45716,0.81557,0,0.56455,0.39215,0.36825,0.27118,0.55491,0.3803,0.35213,0.18094,0.755,1.02629,1.51676,0.80074,0,0.000142,0.000142,0.000142
54,4037.56,0.85864,1.18773,1.47579,0.81267,0,0.48257,0.404,0.36731,0.27028,0.47352,0.3926,0.35162,0.17845,0.75463,1.0305,1.52447,0.801,0,0.0001255,0.0001255,0.0001255
55,4083.85,0.84961,1.16644,1.46518,0.81284,0,0.56641,0.40174,0.36223,0.26446,0.5648,0.38634,0.34673,0.17249,0.76159,1.04529,1.55193,0.80065,0,0.000109,0.000109,0.000109
56,4137.33,0.84504,1.1624,1.44762,0.81331,0,0.44824,0.41992,0.37436,0.27849,0.44203,0.4068,0.35966,0.18232,0.73799,0.99041,1.49127,0.79971,0,9.25e-05,9.25e-05,9.25e-05
57,4192.64,0.84096,1.16188,1.46345,0.81408,0,0.45937,0.40853,0.36952,0.27364,0.45273,0.3966,0.35511,0.17879,0.74529,1.00507,1.52449,0.80054,0,7.6e-05,7.6e-05,7.6e-05
58,4250.24,0.84674,1.1742,1.44503,0.81242,0,0.4628,0.41937,0.37083,0.27551,0.4578,0.40879,0.3567,0.18048,0.7472,1.02371,1.51558,0.8,0,5.95e-05,5.95e-05,5.95e-05
59,4300.78,0.84079,1.15794,1.44263,0.81198,0,0.45492,0.41832,0.36681,0.27304,0.45848,0.40259,0.35401,0.17997,0.73596,1.00177,1.50542,0.79924,0,4.3e-05,4.3e-05,4.3e-05
60,4347.47,0.84388,1.15764,1.43742,0.81325,0,0.45096,0.4268,0.37388,0.27852,0.45059,0.41064,0.35919,0.18253,0.74054,1.00847,1.48334,0.79921,0,2.65e-05,2.65e-05,2.65e-05
