epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,3859.25,0.92423,1.28353,1.45027,0.81934,0,0.40294,0.43333,0.36959,0.27458,0.39183,0.41891,0.34983,0.17295,0.75792,1.06237,1.51301,0.80652,0,0.0002525,0.0002525,0.0002525
52,3933.16,0.9143,1.25391,1.44979,0.81969,0,0.41384,0.418,0.36067,0.26797,0.40366,0.40545,0.34277,0.16863,0.76111,1.06296,1.57738,0.80648,0,0.00024755,0.00024755,0.00024755
53,4006.49,0.93856,1.29533,1.46259,0.81947,0,0.46695,0.40755,0.35708,0.26474,0.46195,0.39429,0.34078,0.16901,0.75943,1.04322,1.58112,0.80516,0,0.0002426,0.0002426,0.0002426
54,4080.28,0.93211,1.29211,1.45801,0.82026,0,0.43815,0.43494,0.3688,0.27304,0.43789,0.41469,0.34884,0.16843,0.77465,1.08228,1.53965,0.80833,0,0.00023765,0.00023765,0.00023765
55,4154.6,0.93275,1.28838,1.44601,0.81988,0,0.49072,0.41163,0.36361,0.27271,0.48219,0.39804,0.34593,0.17217,0.74842,1.03172,1.56116,0.80518,0,0.0002327,0.0002327,0.0002327
56,4229.38,0.91826,1.27659,1.43723,0.81983,0,0.49545,0.42098,0.36664,0.27407,0.48651,0.4082,0.34804,0.17382,0.76315,1.05588,1.53687,0.80591,0,0.00022775,0.00022775,0.00022775
57,4303.34,0.92157,1.28655,1.43726,0.81923,0,0.47619,0.41949,0.36682,0.27471,0.46588,0.40363,0.34617,0.17259,0.75265,1.04444,1.52565,0.80669,0,0.0002228,0.0002228,0.0002228
58,4378.76,0.90333,1.25679,1.42879,0.81792,0,0.46005,0.41255,0.36379,0.27159,0.45642,0.39825,0.34585,0.17187,0.75958,1.05528,1.58436,0.80585,0,0.00021785,0.00021785,0.00021785
59,4452.05,0.92977,1.28201,1.44487,0.81758,0,0.45806,0.41739,0.36733,0.27635,0.44745,0.40487,0.34961,0.17295,0.75451,1.05849,1.54416,0.80484,0,0.0002129,0.0002129,0.0002129
60,4526.66,0.93482,1.29046,1.43435,0.81673,0,0.45026,0.42601,0.36482,0.27307,0.43899,0.41354,0.34767,0.16897,0.75421,1.04642,1.51362,0.80522,0,0.00020795,0.00020795,0.00020795
61,4601.94,0.93137,1.29183,1.42801,0.81834,0,0.54951,0.4057,0.36687,0.27466,0.53964,0.39279,0.34941,0.16784,0.76017,1.0378,1.52272,0.80635,0,0.000203,0.000203,0.000203
62,4674.65,0.92059,1.2537,1.44139,0.8171,0,0.48323,0.41202,0.37052,0.2804,0.53911,0.39709,0.35278,0.17387,0.7512,1.04852,1.52111,0.80531,0,0.00019805,0.00019805,0.00019805
63,4748.04,0.89094,1.21478,1.39628,0.81641,0,0.47148,0.41796,0.36977,0.28112,0.46282,0.40372,0.35339,0.17701,0.74284,1.02609,1.50496,0.80422,0,0.0001931,0.0001931,0.0001931
64,4822.58,0.92279,1.2597,1.40103,0.81746,0,0.43934,0.41598,0.36932,0.27681,0.43609,0.39971,0.35055,0.17351,0.76435,1.04905,1.54347,0.80517,0,0.00018815,0.00018815,0.00018815
65,4897.11,0.90345,1.23998,1.41305,0.81686,0,0.42101,0.42465,0.36804,0.27632,0.40711,0.4099,0.34741,0.16684,0.75756,1.04539,1.50125,0.80614,0,0.0001832,0.0001832,0.0001832
66,4970.94,0.88726,1.22365,1.39005,0.81762,0,0.48327,0.42445,0.37212,0.27978,0.46931,0.41305,0.35479,0.17247,0.74671,1.03478,1.50995,0.80429,0,0.00017825,0.00017825,0.00017825
