epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
49,35994,0.70528,0.98199,1.02902,0.86268,0,0.42347,0.46927,0.3976,0.29771,0.41453,0.45834,0.38266,0.20175,0.75769,1.0018,1.33142,0.79784,0,0.000208,0.000208,0.000208
50,36726.1,0.7037,0.97859,1.02238,0.86242,0,0.42595,0.46942,0.39761,0.29778,0.41698,0.45852,0.38243,0.20153,0.75766,1.00141,1.33087,0.79782,0,0.0001915,0.0001915,0.0001915
51,37431.3,0.67083,0.94746,0.95904,0.85885,0,0.42487,0.4692,0.39728,0.29744,0.41595,0.45833,0.38191,0.20144,0.75771,1.00143,1.33152,0.79779,0,0.000175,0.000175,0.000175
52,38133.5,0.67044,0.94622,0.95064,0.85922,0,0.42371,0.46757,0.3972,0.29708,0.41494,0.45683,0.38227,0.20161,0.75805,1.00159,1.33167,0.79782,0,0.0001585,0.0001585,0.0001585
53,38832.4,0.66678,0.93938,0.93802,0.85705,0,0.42054,0.46907,0.39725,0.29678,0.41177,0.45824,0.38205,0.20139,0.75822,1.00205,1.33166,0.79785,0,0.000142,0.000142,0.000142
54,39536,0.66502,0.93781,0.93004,0.85677,0,0.41978,0.46813,0.39681,0.29664,0.41248,0.45646,0.38156,0.20125,0.75872,1.00255,1.3321,0.79789,0,0.0001255,0.0001255,0.0001255
55,40237.3,0.66276,0.93368,0.92266,0.85684,0,0.42189,0.46632,0.39632,0.29579,0.41463,0.45484,0.38093,0.2007,0.75941,1.00349,1.33258,0.79798,0,0.000109,0.000109,0.000109
56,40940,0.66111,0.93364,0.91514,0.85616,0,0.42359,0.46441,0.39488,0.2951,0.41688,0.45393,0.37983,0.20058,0.75968,1.00434,1.33282,0.79801,0,9.25e-05,9.25e-05,9.25e-05
57,41644.9,0.66229,0.93411,0.91072,0.85641,0,0.42438,0.463,0.3948,0.2953,0.41621,0.45312,0.38004,0.20059,0.75977,1.0045,1.33298,0.79801,0,7.6e-05,7.6e-05,7.6e-05
58,42349.4,0.6576,0.92961,0.90428,0.85564,0,0.42175,0.46502,0.39452,0.2947,0.41253,0.45381,0.37865,0.19965,0.75989,1.00471,1.33355,0.79804,0,5.95e-05,5.95e-05,5.95e-05
59,43053.8,0.65931,0.93029,0.90126,0.8562,0,0.42496,0.46176,0.39421,0.29467,0.41588,0.4508,0.37844,0.19971,0.75994,1.00547,1.33347,0.79802,0,4.3e-05,4.3e-05,4.3e-05
60,43758.2,0.65682,0.92891,0.89434,0.85504,0,0.42555,0.46148,0.39376,0.29421,0.41647,0.45055,0.37847,0.19957,0.76032,1.00597,1.33365,0.79803,0,2.65e-05,2.65e-05,2.65e-05
