epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,33151.4,0.74622,1.02832,1.14425,0.875,0,0.40375,0.22643,0.19065,0.10393,0.34806,0.16924,0.11362,0.03188,1.7241,1.86402,2.03176,0.8004,0,0.0005941,0.0005941,0.0005941
43,33935.5,0.74423,1.02489,1.14229,0.87594,0,0.34853,0.23162,0.19126,0.10412,0.28764,0.17434,0.11573,0.03248,1.71799,1.85932,2.02935,0.8001,0,0.0005842,0.0005842,0.0005842
44,34720.4,0.74459,1.0261,1.13931,0.87548,0,0.33234,0.23108,0.192,0.10488,0.28893,0.17467,0.11581,0.03266,1.71142,1.85364,2.02649,0.79978,0,0.0005743,0.0005743,0.0005743
45,35503.4,0.74245,1.02088,1.13594,0.87545,0,0.33386,0.23029,0.19279,0.10559,0.29163,0.17578,0.1171,0.03266,1.70522,1.8475,2.0246,0.79942,0,0.0005644,0.0005644,0.0005644
46,36291.4,0.74198,1.02135,1.13235,0.87481,0,0.3312,0.23171,0.1932,0.10571,0.27725,0.17698,0.11452,0.03223,1.70589,1.84954,2.02545,0.7994,0,0.0005545,0.0005545,0.0005545
47,37075.1,0.74105,1.02011,1.12875,0.87475,0,0.32879,0.23768,0.19463,0.10602,0.26799,0.1809,0.11352,0.03213,1.70807,1.84799,2.02734,0.79952,0,0.0005446,0.0005446,0.0005446
48,37868.3,0.7398,1.01577,1.12493,0.87374,0,0.3575,0.23229,0.19537,0.10639,0.2735,0.17406,0.11481,0.03238,1.70759,1.84501,2.0308,0.79946,0,0.0005347,0.0005347,0.0005347
49,38652.5,0.73949,1.01533,1.12383,0.87457,0,0.35936,0.23689,0.19485,0.10634,0.26824,0.17789,0.11413,0.03217,1.70558,1.84091,2.02983,0.79921,0,0.0005248,0.0005248,0.0005248
50,39431.4,0.73884,1.01479,1.11855,0.87334,0,0.35954,0.23696,0.19512,0.10648,0.26774,0.17929,0.11516,0.03286,1.70167,1.83477,2.02738,0.79892,0,0.0005149,0.0005149,0.0005149
51,40171.1,0.73727,1.01215,1.11691,0.87299,0,0.32668,0.23839,0.19527,0.1065,0.26012,0.18093,0.1147,0.0328,1.69977,1.82682,2.02513,0.79862,0,0.000505,0.000505,0.000505
